exec_date,signal_date,sell_code,buy_code,sell_price_ohlc4,buy_price_ohlc4,sell_commission,buy_commission,cash_before_trade,nav_after_trade_eod,action,holdings,cash_ratio,holding_ratios
2020-02-10,2020-02-07,,159915.SZ,,1.94725,0.0,4.997638167217761,39983.60415682569,40104.417465482824,调仓买入,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.12467796074098074,"159915.SZ:0.2510,518880.SH:0.2488,159985.SZ:0.1251,510300.SH:0.2504"
2020-02-10,2020-02-07,,518880.SH,,3.4869999999999997,0.0,4.997638167217761,39983.60415682569,40104.417465482824,调仓买入,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.12467796074098074,"159915.SZ:0.2510,518880.SH:0.2488,159985.SZ:0.1251,510300.SH:0.2504"
2020-02-10,2020-02-07,,159985.SZ,,0.94625,0.0,2.4988190836088804,39983.60415682569,40104.417465482824,调仓买入,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.12467796074098074,"159915.SZ:0.2510,518880.SH:0.2488,159985.SZ:0.1251,510300.SH:0.2504"
2020-02-10,2020-02-07,,510300.SH,,4.3911074999999995,0.0,4.997638167217761,39983.60415682569,40104.417465482824,调仓买入,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.12467796074098074,"159915.SZ:0.2510,518880.SH:0.2488,159985.SZ:0.1251,510300.SH:0.2504"
2020-02-11,2020-02-11,159985.SZ,,0.94775,,1.2513901117518182,0.0,5000.273976355789,40102.54619401538,风险减半仓,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.18706549887017376,"159915.SZ:0.2492,518880.SH:0.2482,159985.SZ:0.0624,510300.SH:0.2531"
2020-02-13,2020-02-13,510300.SH,,4.47960825,,2.549181631784642,0.0,7502.213873066806,40423.364977859484,风险减半仓,"159915.SZ,518880.SH,159985.SZ,510300.SH",0.311652133905835,"159915.SZ:0.2524,518880.SH:0.2475,159985.SZ:0.0626,510300.SH:0.1258"
2020-02-24,2020-02-21,159985.SZ,,0.9425000000000001,,0.0,0.0,7544.057994752233,42195.27088538446,调仓卖出,"159915.SZ,518880.SH,510300.SH,512890.SH",0.1787891826845774,"159915.SZ:0.2650,518880.SH:0.2530,510300.SH:0.1254,512890.SH:0.1778"
2020-02-24,2020-02-21,,512890.SH,,1.15,0.0,3.77014392541341,42119.97773544877,42195.27088538446,调仓买入,"159915.SZ,518880.SH,510300.SH,512890.SH",0.1787891826845774,"159915.SZ:0.2650,518880.SH:0.2530,510300.SH:0.1254,512890.SH:0.1778"
2020-02-25,2020-02-25,512890.SH,,1.124,,1.842452944419423,0.0,7544.264681272638,41943.119843440276,风险减半仓,"159915.SZ,518880.SH,510300.SH,512890.SH",0.26767985212056106,"159915.SZ:0.2685,518880.SH:0.2493,510300.SH:0.1260,512890.SH:0.0886"
2020-02-28,2020-02-28,159915.SZ,,2.02375,,2.596988121942982,0.0,11228.250936541146,40659.366633811995,风险减半仓,"159915.SZ,518880.SH,510300.SH,512890.SH",0.40383388999106395,"159915.SZ:0.1259,518880.SH:0.2554,510300.SH:0.1245,512890.SH:0.0903"
2020-03-18,2020-03-18,512890.SH,,1.07525,,0.0,0.0,19948.801269173353,38822.39932166863,止损,"159915.SZ,518880.SH,510300.SH",0.5138477172388204,"159915.SZ:0.1202,518880.SH:0.2456,510300.SH:0.1204"
2020-03-19,2020-03-19,510300.SH,,4.06283475,,0.0,0.0,24571.057875636507,38748.58942850966,止损,"159915.SZ,518880.SH",0.6341148990976716,"159915.SZ:0.1209,518880.SH:0.2450"
2020-03-23,2020-03-23,159915.SZ,,1.77925,,0.0,0.0,29136.58537302909,38701.895705122966,止损,518880.SH,0.7528464650679187,518880.SH:0.2472
2020-03-23,2020-03-20,,159985.SZ,,1.01575,0.0,2.4268353634040554,38684.74525827863,38625.626654301755,调仓买入,"518880.SH,159985.SZ,512890.SH,510300.SH",0.12572216900539765,"518880.SH:0.2476,159985.SZ:0.1273,512890.SH:0.2490,510300.SH:0.2503"
2020-03-24,2020-03-24,159985.SZ,,1.0245,,1.2238704552337951,0.0,4856.230605940344,39588.43234593934,风险减半仓,"518880.SH,159985.SZ,512890.SH,510300.SH",0.18446670436804394,"518880.SH:0.2551,159985.SZ:0.0613,512890.SH:0.2491,510300.SH:0.2501"
2020-03-24,2020-03-24,512890.SH,,1.05,,2.441952210420947,0.0,7302.747645952701,39539.47701829234,风险减半仓,"518880.SH,159985.SZ,512890.SH,510300.SH",0.3081530418054678,"518880.SH:0.2554,159985.SZ:0.0613,512890.SH:0.1247,510300.SH:0.2504"
2020-04-15,2020-04-15,510300.SH,,4.29299325,,2.601980179546909,0.0,12189.218284621102,40583.52665620265,风险减半仓,"518880.SH,159985.SZ,512890.SH,510300.SH",0.42851319479593464,"518880.SH:0.2615,159985.SZ:0.0575,512890.SH:0.1247,510300.SH:0.1278"
2020-04-21,2020-04-20,159985.SZ,,0.94825,,0.0,0.0,0.0,40478.9968380879,调仓卖出,"518880.SH,512890.SH,510300.SH,159915.SZ",0.0,"518880.SH:0.2609,512890.SH:0.1248,510300.SH:0.1285,159915.SZ:0.4858"
2020-04-21,2020-04-20,,159915.SZ,,1.94725,0.0,9.823545115852589,40464.267214036976,40478.9968380879,调仓买入,"518880.SH,512890.SH,510300.SH,159915.SZ",0.0,"518880.SH:0.2609,512890.SH:0.1248,510300.SH:0.1285,159915.SZ:0.4858"
2020-06-05,2020-06-04,512890.SH,,1.12625,,0.0,0.0,0.0,42711.81277988835,调仓卖出,"518880.SH,510300.SH,159915.SZ,159985.SZ",0.0,"518880.SH:0.2562,510300.SH:0.1285,159915.SZ:0.4930,159985.SZ:0.1223"
2020-06-05,2020-06-04,,159985.SZ,,0.9884999999999999,0.0,2.6166664788064047,42629.079502682696,42711.81277988835,调仓买入,"518880.SH,510300.SH,159915.SZ,159985.SZ",0.0,"518880.SH:0.2562,510300.SH:0.1285,159915.SZ:0.4930,159985.SZ:0.1223"
2020-06-19,2020-06-18,518880.SH,,3.8417499999999998,,0.0,0.0,5503.3199285042665,44389.277951195385,调仓卖出,"510300.SH,159915.SZ,159985.SZ,512890.SH",0.1239785863278739,"510300.SH:0.1268,159915.SZ:0.5087,159985.SZ:0.1164,512890.SH:0.1241"
2020-06-19,2020-06-18,,512890.SH,,1.1420000000000001,0.0,2.750284821841213,44162.13859774721,44389.277951195385,调仓买入,"510300.SH,159915.SZ,159985.SZ,512890.SH",0.1239785863278739,"510300.SH:0.1268,159915.SZ:0.5087,159985.SZ:0.1164,512890.SH:0.1241"
2020-06-22,2020-06-22,512890.SH,,1.14,,1.3727341054724091,0.0,5503.470704392719,44643.35289363915,风险减半仓,"510300.SH,159915.SZ,159985.SZ,512890.SH",0.18474343091751044,"510300.SH:0.1262,159915.SZ:0.5115,159985.SZ:0.1163,512890.SH:0.0613"
2020-07-07,2020-07-06,159985.SZ,,1.01,,0.0,0.0,0.0,48474.03789467483,调仓卖出,"510300.SH,159915.SZ,512890.SH,518880.SH",0.0,"510300.SH:0.1339,159915.SZ:0.5210,512890.SH:0.0646,518880.SH:0.2804"
2020-07-07,2020-07-06,,518880.SH,,3.9092499999999997,0.0,6.793645718380641,48467.99371930651,48474.03789467483,调仓买入,"510300.SH,159915.SZ,512890.SH,518880.SH",0.0,"510300.SH:0.1339,159915.SZ:0.5210,512890.SH:0.0646,518880.SH:0.2804"
2020-07-16,2020-07-16,159915.SZ,,2.6422499999999998,,6.6648509647866225,0.0,0.0,49207.99660001419,风险减半仓,"510300.SH,159915.SZ,512890.SH,518880.SH",0.2707494309696123,"510300.SH:0.1269,159915.SZ:0.2622,512890.SH:0.0627,518880.SH:0.2774"
2020-07-21,2020-07-20,518880.SH,,3.9455,,0.0,0.0,13515.280124411454,49989.177430138814,调仓卖出,"510300.SH,159915.SZ,512890.SH,159985.SZ",0.27036412318045067,"510300.SH:0.1300,159915.SZ:0.2667,512890.SH:0.0638,159985.SZ:0.2691"
2020-07-21,2020-07-20,,159985.SZ,,1.0202499999999999,0.0,6.7542629307403566,49976.3904918445,49989.177430138814,调仓买入,"510300.SH,159915.SZ,512890.SH,159985.SZ",0.27036412318045067,"510300.SH:0.1300,159915.SZ:0.2667,512890.SH:0.0638,159985.SZ:0.2691"
2020-07-22,2020-07-22,159985.SZ,,1.0185,,3.371338787041928,0.0,13515.650406058698,50280.847871348815,风险减半仓,"510300.SH,159915.SZ,512890.SH,159985.SZ",0.4028364178181898,"510300.SH:0.1307,159915.SZ:0.2687,512890.SH:0.0635,159985.SZ:0.1343"
2020-08-04,2020-08-03,510300.SH,,5.469798750000001,,0.0,0.0,0.0,50673.70892240964,调仓卖出,"159915.SZ,512890.SH,159985.SZ,518880.SH",0.0,"159915.SZ:0.2726,512890.SH:0.0641,159985.SZ:0.1334,518880.SH:0.5299"
2020-08-04,2020-08-03,,518880.SH,,4.20925,0.0,13.436840902466177,50788.78360907889,50673.70892240964,调仓买入,"159915.SZ,512890.SH,159985.SZ,518880.SH",0.0,"159915.SZ:0.2726,512890.SH:0.0641,159985.SZ:0.1334,518880.SH:0.5299"
2020-08-18,2020-08-17,159985.SZ,,1.0165,,0.0,0.0,0.0,50202.78104094871,调仓卖出,"159915.SZ,512890.SH,518880.SH,510300.SH",0.0,"159915.SZ:0.2618,512890.SH:0.0671,518880.SH:0.5373,510300.SH:0.1339"
2020-08-18,2020-08-17,,510300.SH,,5.510232,0.0,3.3613555461735074,50171.65184847081,50202.78104094871,调仓买入,"159915.SZ,512890.SH,518880.SH,510300.SH",0.0,"159915.SZ:0.2618,512890.SH:0.0671,518880.SH:0.5373,510300.SH:0.1339"
2020-09-01,2020-08-31,518880.SH,,4.1610000000000005,,0.0,0.0,0.0,50041.131562468254,调仓卖出,"159915.SZ,512890.SH,510300.SH,159985.SZ",0.0,"159915.SZ:0.2680,512890.SH:0.0655,510300.SH:0.1353,159985.SZ:0.5312"
2020-09-01,2020-08-31,,159985.SZ,,1.02725,0.0,13.269540236750828,49861.282273893914,50041.131562468254,调仓买入,"159915.SZ,512890.SH,510300.SH,159985.SZ",0.0,"159915.SZ:0.2680,512890.SH:0.0655,510300.SH:0.1353,159985.SZ:0.5312"
2020-09-15,2020-09-14,512890.SH,,1.3225,,0.0,0.0,0.0,50524.125926566456,调仓卖出,"159915.SZ,510300.SH,159985.SZ,518880.SH",0.0,"159915.SZ:0.2500,510300.SH:0.1296,159985.SZ:0.5574,518880.SH:0.0630"
2020-09-15,2020-09-14,,518880.SH,,4.1005,0.0,1.5909002814908488,50424.82992636337,50524.125926566456,调仓买入,"159915.SZ,510300.SH,159985.SZ,518880.SH",0.0,"159915.SZ:0.2500,510300.SH:0.1296,159985.SZ:0.5574,518880.SH:0.0630"
2020-09-29,2020-09-28,518880.SH,,3.96625,,0.0,0.0,1538.0449426514688,49706.53736822667,调仓卖出,"159915.SZ,510300.SH,159985.SZ,512890.SH",0.030942508251130266,"159915.SZ:0.2516,510300.SH:0.1294,159985.SZ:0.5572,512890.SH:0.0309"
2020-09-29,2020-09-28,,512890.SH,,1.29525,0.0,0.7686381522496096,49675.981925914115,49706.53736822667,调仓买入,"159915.SZ,510300.SH,159985.SZ,512890.SH",0.030942508251130266,"159915.SZ:0.2516,510300.SH:0.1294,159985.SZ:0.5572,512890.SH:0.0309"
2020-09-30,2020-09-30,512890.SH,,1.29075,,0.38298386219501396,0.0,1538.0870808690756,49885.067636804524,风险减半仓,"159915.SZ,510300.SH,159985.SZ,512890.SH",0.046179587009265485,"159915.SZ:0.2517,510300.SH:0.1285,159985.SZ:0.5583,512890.SH:0.0153"
2020-10-26,2020-10-26,159985.SZ,,1.141,,7.369455054822435,0.0,2304.429307089533,51862.32495950004,风险减半仓,"159915.SZ,510300.SH,159985.SZ,512890.SH",0.3284845015140218,"159915.SZ:0.2464,510300.SH:0.1264,159985.SZ:0.2837,512890.SH:0.0150"
2020-12-16,2020-12-15,512890.SH,,1.34875,,0.0,0.0,1.8189894035458565e-12,53056.7070525556,调仓卖出,"159915.SZ,510300.SH,513300.SH,518880.SH",3.428387294643158e-17,"159915.SZ:0.2536,510300.SH:0.1306,513300.SH:0.3077,518880.SH:0.3081"
2020-12-16,2020-12-15,159985.SZ,,1.1477499999999998,,0.0,0.0,1.8189894035458565e-12,53056.7070525556,调仓卖出,"159915.SZ,510300.SH,513300.SH,518880.SH",3.428387294643158e-17,"159915.SZ:0.2536,510300.SH:0.1306,513300.SH:0.3077,518880.SH:0.3081"
2020-12-16,2020-12-15,,513300.SH,,1.04225,0.0,8.163899208957584,53010.83063681161,53056.7070525556,调仓买入,"159915.SZ,510300.SH,513300.SH,518880.SH",3.428387294643158e-17,"159915.SZ:0.2536,510300.SH:0.1306,513300.SH:0.3077,518880.SH:0.3081"
2020-12-16,2020-12-15,,518880.SH,,3.7885,0.0,8.163899208957583,53010.83063681161,53056.7070525556,调仓买入,"159915.SZ,510300.SH,513300.SH,518880.SH",3.428387294643158e-17,"159915.SZ:0.2536,510300.SH:0.1306,513300.SH:0.3077,518880.SH:0.3081"
2020-12-30,2020-12-29,510300.SH,,5.81758125,,0.0,0.0,0.0,54400.918488284646,调仓卖出,"159915.SZ,513300.SH,518880.SH,159985.SZ",0.0,"159915.SZ:0.2596,513300.SH:0.3061,518880.SH:0.3036,159985.SZ:0.1307"
2020-12-30,2020-12-29,,159985.SZ,,1.2252500000000002,0.0,3.545297877402569,54185.53790867566,54400.918488284646,调仓买入,"159915.SZ,513300.SH,518880.SH,159985.SZ",0.0,"159915.SZ:0.2596,513300.SH:0.3061,518880.SH:0.3036,159985.SZ:0.1307"
2021-01-04,2021-01-04,159985.SZ,,1.27875,,1.8500508715480655,0.0,0.0,55782.53867168631,风险减半仓,"159915.SZ,513300.SH,518880.SH,159985.SZ",0.06629765837641438,"159915.SZ:0.2691,513300.SH:0.2968,518880.SH:0.3015,159985.SZ:0.0662"
2021-01-14,2021-01-13,518880.SH,,3.779,,0.0,0.0,0.0,55427.31035940133,调仓卖出,"159915.SZ,513300.SH,159985.SZ,510300.SH",0.0,"159915.SZ:0.2719,513300.SH:0.2996,159985.SZ:0.0715,510300.SH:0.3570"
2021-01-14,2021-01-13,,510300.SH,,6.32596575,0.0,9.98389501867206,55704.552858224175,55427.31035940133,调仓买入,"159915.SZ,513300.SH,159985.SZ,510300.SH",0.0,"159915.SZ:0.2719,513300.SH:0.2996,159985.SZ:0.0715,510300.SH:0.3570"
2021-02-18,2021-02-10,159985.SZ,,1.279,,0.0,0.0,0.0,58219.49254615042,调仓卖出,"159915.SZ,513300.SH,510300.SH,518880.SH",0.0,"159915.SZ:0.2775,513300.SH:0.3008,510300.SH:0.3581,518880.SH:0.0636"
2021-02-18,2021-02-10,,518880.SH,,3.6460000000000004,0.0,1.8485630750041366,58885.44294848915,58219.49254615042,调仓买入,"159915.SZ,513300.SH,510300.SH,518880.SH",0.0,"159915.SZ:0.2775,513300.SH:0.3008,510300.SH:0.3581,518880.SH:0.0636"
2021-03-04,2021-03-03,159915.SZ,,2.8049999999999997,,0.0,0.0,4426.354886678118,53065.915520901784,调仓卖出,"513300.SH,510300.SH,512890.SH,159985.SZ",0.08341239085820823,"513300.SH:0.3067,510300.SH:0.3604,512890.SH:0.0834,159985.SZ:0.1660"
2021-03-04,2021-03-03,518880.SH,,3.5142499999999997,,0.0,0.0,4426.354886678118,53065.915520901784,调仓卖出,"513300.SH,510300.SH,512890.SH,159985.SZ",0.08341239085820823,"513300.SH:0.3067,510300.SH:0.3604,512890.SH:0.0834,159985.SZ:0.1660"
2021-03-04,2021-03-03,,512890.SH,,1.4100000000000001,0.0,2.212071407635242,53341.292958090286,53065.915520901784,调仓买入,"513300.SH,510300.SH,512890.SH,159985.SZ",0.08341239085820823,"513300.SH:0.3067,510300.SH:0.3604,512890.SH:0.0834,159985.SZ:0.1660"
2021-03-04,2021-03-03,,159985.SZ,,1.23225,0.0,4.424142815270484,53341.292958090286,53065.915520901784,调仓买入,"513300.SH,510300.SH,512890.SH,159985.SZ",0.08341239085820823,"513300.SH:0.3067,510300.SH:0.3604,512890.SH:0.0834,159985.SZ:0.1660"
2021-03-05,2021-03-05,512890.SH,,1.396,,1.0950537890279421,0.0,4426.476156675014,52750.384351320106,风险减半仓,"513300.SH,510300.SH,512890.SH,159985.SZ",0.12541119391438735,"513300.SH:0.3047,510300.SH:0.3611,512890.SH:0.0413,159985.SZ:0.1674"
2021-03-08,2021-03-08,510300.SH,,5.9520375,,0.0,0.0,25393.768840697332,52804.74789456162,止损,"513300.SH,512890.SH,159985.SZ",0.48089934813063745,"513300.SH:0.3077,512890.SH:0.0411,159985.SZ:0.1704"
2021-03-18,2021-03-17,,518880.SH,,3.6075,0.0,12.693320905538974,53239.15244858216,53191.741826885416,调仓买入,"513300.SH,512890.SH,159985.SZ,518880.SH",0.0,"513300.SH:0.3204,512890.SH:0.0421,159985.SZ:0.1606,518880.SH:0.4768"
2021-03-31,2021-03-31,513300.SH,,1.074,,4.206297793437489,0.0,0.0,52324.123691757515,风险减半仓,"513300.SH,512890.SH,159985.SZ,518880.SH",0.16069813875174546,"513300.SH:0.1609,512890.SH:0.0425,159985.SZ:0.1658,518880.SH:0.4701"
2021-04-16,2021-04-15,512890.SH,,1.436,,0.0,0.0,0.0,54424.93436998284,调仓卖出,"513300.SH,159985.SZ,518880.SH,159915.SZ",0.0,"513300.SH:0.1668,159985.SZ:0.1664,518880.SH:0.4710,159915.SZ:0.1958"
2021-04-16,2021-04-15,,159915.SZ,,2.6885000000000003,0.0,5.328664976277866,54412.268388146,54424.93436998284,调仓买入,"513300.SH,159985.SZ,518880.SH,159915.SZ",0.0,"513300.SH:0.1668,159985.SZ:0.1664,518880.SH:0.4710,159915.SZ:0.1958"
2021-05-19,2021-05-18,513300.SH,,1.0807499999999999,,0.0,0.0,4230.617655574895,56405.69772234598,调仓卖出,"159985.SZ,518880.SH,159915.SZ,512890.SH",0.07500337424066418,"159985.SZ:0.1628,518880.SH:0.4756,159915.SZ:0.2117,512890.SH:0.0749"
2021-05-19,2021-05-18,,512890.SH,,1.486,0.0,2.1142517019364795,56279.25447378514,56405.69772234598,调仓买入,"159985.SZ,518880.SH,159915.SZ,512890.SH",0.07500337424066418,"159985.SZ:0.1628,518880.SH:0.4756,159915.SZ:0.2117,512890.SH:0.0749"
2021-05-20,2021-05-20,512890.SH,,1.4645000000000001,,1.041830961469036,0.0,4230.733562907924,56455.81675169764,风险减半仓,"159985.SZ,518880.SH,159915.SZ,512890.SH",0.11182822281451951,"159985.SZ:0.1625,518880.SH:0.4750,159915.SZ:0.2137,512890.SH:0.0369"
2021-06-02,2021-06-01,159985.SZ,,1.27725,,0.0,0.0,7740.8685743984715,56753.07749179899,调仓卖出,"518880.SH,159915.SZ,512890.SH,510300.SH",0.13639557388790155,"518880.SH:0.4703,159915.SZ:0.2188,512890.SH:0.0386,510300.SH:0.1358"
2021-06-02,2021-06-01,,510300.SH,,6.0987255,0.0,3.8685000371806457,57002.80944408185,56753.07749179899,调仓买入,"518880.SH,159915.SZ,512890.SH,510300.SH",0.13639557388790155,"518880.SH:0.4703,159915.SZ:0.2188,512890.SH:0.0386,510300.SH:0.1358"
2021-06-03,2021-06-03,510300.SH,,6.058042499999999,,1.9213471434721836,0.0,7741.080652989551,56435.213359593545,风险减半仓,"518880.SH,159915.SZ,512890.SH,510300.SH",0.2052238824542624,"518880.SH:0.4706,159915.SZ:0.2177,512890.SH:0.0387,510300.SH:0.0678"
2021-06-17,2021-06-16,518880.SH,,3.6694999999999998,,0.0,0.0,0.0,55524.73482214024,调仓卖出,"159915.SZ,512890.SH,510300.SH,513300.SH",0.0,"159915.SZ:0.2205,512890.SH:0.0385,510300.SH:0.0670,513300.SH:0.6740"
2021-06-17,2021-06-16,,513300.SH,,1.1315,0.0,18.6880287155832,55351.85989897277,55524.73482214024,调仓买入,"159915.SZ,512890.SH,510300.SH,513300.SH",0.0,"159915.SZ:0.2205,512890.SH:0.0385,510300.SH:0.0670,513300.SH:0.6740"
2021-06-24,2021-06-24,513300.SH,,1.1725,,9.682595523208708,0.0,0.0,57208.15712208291,风险减半仓,"159915.SZ,512890.SH,510300.SH,513300.SH",0.3383347659598493,"159915.SZ:0.2199,512890.SH:0.0377,510300.SH:0.0659,513300.SH:0.3381"
2021-07-15,2021-07-14,510300.SH,,5.923674,,0.0,0.0,0.0,59004.30716404093,调仓卖出,"159915.SZ,513300.SH,159985.SZ,518880.SH",0.0,"159915.SZ:0.2304,513300.SH:0.3423,159985.SZ:0.2134,518880.SH:0.2139"
2021-07-15,2021-07-14,512890.SH,,1.48375,,0.0,0.0,0.0,59004.30716404093,调仓卖出,"159915.SZ,513300.SH,159985.SZ,518880.SH",0.0,"159915.SZ:0.2304,513300.SH:0.3423,159985.SZ:0.2134,518880.SH:0.2139"
2021-07-15,2021-07-14,,159985.SZ,,1.31275,0.0,6.304108721508081,58818.61861193693,59004.30716404093,调仓买入,"159915.SZ,513300.SH,159985.SZ,518880.SH",0.0,"159915.SZ:0.2304,513300.SH:0.3423,159985.SZ:0.2134,518880.SH:0.2139"
2021-07-15,2021-07-14,,518880.SH,,3.71725,0.0,6.304108721508081,58818.61861193693,59004.30716404093,调仓买入,"159915.SZ,513300.SH,159985.SZ,518880.SH",0.0,"159915.SZ:0.2304,513300.SH:0.3423,159985.SZ:0.2134,518880.SH:0.2139"
2021-07-28,2021-07-28,159985.SZ,,1.276,,3.0638136464080405,0.0,0.0,57767.47904846146,风险减半仓,"159915.SZ,513300.SH,159985.SZ,518880.SH",0.10602095815937793,"159915.SZ:0.2184,513300.SH:0.3525,159985.SZ:0.1059,518880.SH:0.2171"
2021-07-29,2021-07-29,159915.SZ,,3.30175,,3.272069850367388,0.0,6124.731275429377,58505.369350400564,风险减半仓,"159915.SZ,513300.SH,159985.SZ,518880.SH",0.21648609430113902,"159915.SZ:0.1138,513300.SH:0.3481,159985.SZ:0.1067,518880.SH:0.2150"
2021-08-12,2021-08-11,518880.SH,,3.578,,0.0,0.0,12399.454434491698,57785.899367928345,调仓卖出,"159915.SZ,513300.SH,159985.SZ,510300.SH",0.2145757800798978,"159915.SZ:0.1125,513300.SH:0.3524,159985.SZ:0.1065,510300.SH:0.2141"
2021-08-12,2021-08-11,,510300.SH,,5.7938895,0.0,6.196628902794451,57859.76231920361,57785.899367928345,调仓买入,"159915.SZ,513300.SH,159985.SZ,510300.SH",0.2145757800798978,"159915.SZ:0.1125,513300.SH:0.3524,159985.SZ:0.1065,510300.SH:0.2141"
2021-08-13,2021-08-13,510300.SH,,5.760942,,3.0806955935665044,0.0,12399.794145572096,57908.49876872116,风险减半仓,"159915.SZ,513300.SH,159985.SZ,510300.SH",0.32047290176231535,"159915.SZ:0.1112,513300.SH:0.3534,159985.SZ:0.1087,510300.SH:0.1062"
2021-08-26,2021-08-25,159915.SZ,,3.20825,,0.0,0.0,7765.821268779673,57905.89104211485,调仓卖出,"513300.SH,510300.SH,512890.SH,518880.SH",0.13411107452144386,"513300.SH:0.3600,510300.SH:0.1034,512890.SH:0.1348,518880.SH:0.2677"
2021-08-26,2021-08-25,159985.SZ,,1.2802499999999999,,0.0,0.0,7765.821268779673,57905.89104211485,调仓卖出,"513300.SH,510300.SH,512890.SH,518880.SH",0.13411107452144386,"513300.SH:0.3600,510300.SH:0.1034,512890.SH:0.1348,518880.SH:0.2677"
2021-08-26,2021-08-25,,512890.SH,,1.5222499999999999,0.0,3.880970149315179,57920.99994946373,57905.89104211485,调仓买入,"513300.SH,510300.SH,512890.SH,518880.SH",0.13411107452144386,"513300.SH:0.3600,510300.SH:0.1034,512890.SH:0.1348,518880.SH:0.2677"
2021-08-26,2021-08-25,,518880.SH,,3.6502499999999998,0.0,7.761940298630358,57920.99994946373,57905.89104211485,调仓买入,"513300.SH,510300.SH,512890.SH,518880.SH",0.13411107452144386,"513300.SH:0.3600,510300.SH:0.1034,512890.SH:0.1348,518880.SH:0.2677"
