factor, ic_mean , icir_annual ,ic_hit_ratio,ic_monotonicity,long_short_annual,long_short_sharpe,long_excess_annual,long_excess_ir
buy_sm_top5_ne, 0.060 , 2.50 ,78.3%,98.8%,0.151312807,1.193820321,4.9%,1.171525446
buy_sm_top5_ld_ne, 0.061 , 2.64 ,79.2%,98.8%,0.15332263,1.255638597,4.4%,1.105367218
buy_sm_top5_exp_ne, 0.061 , 2.58 ,79.2%,96.4%,0.155565551,1.260454125,4.7%,1.151844017
buy_sm_bottom5_ne, -0.085 , -3.94 ,90.0%,96.4%,0.252222926,2.189633793,5.5%,1.388021281
buy_sm_bottom5_ld_ne, -0.083 , -3.85 ,86.7%,89.1%,0.236681298,2.079099408,4.9%,1.231904936
buy_sm_bottom5_exp_ne, -0.085 , -3.89 ,89.2%,89.1%,0.248705881,2.151719538,5.5%,1.372136844
buy_sm_top10_ne, 0.057 , 2.19 ,75.0%,96.4%,0.135381709,0.965231091,3.9%,0.805575882
buy_sm_top10_ld_ne, 0.064 , 2.46 ,79.2%,100.0%,0.163576856,1.17191131,4.8%,1.013139251
buy_sm_top10_exp_ne, 0.062 , 2.33 ,79.2%,98.8%,0.147380007,1.055097464,4.5%,0.965847494
buy_sm_bottom10_ne, -0.086 , -3.78 ,90.0%,95.2%,0.259267728,2.158749474,5.9%,1.417907015
buy_sm_bottom10_ld_ne, -0.089 , -3.86 ,90.0%,96.4%,0.260967048,2.136360801,5.9%,1.39422234
buy_sm_bottom10_exp_ne, -0.089 , -3.83 ,90.0%,95.2%,0.265111983,2.155361688,5.9%,1.406577225
buy_elg_top5_ne, -0.076 , -4.05 ,90.8%,95.2%,0.237484745,2.38953196,5.2%,1.398010051
buy_elg_top5_ld_ne, -0.078 , -4.17 ,90.0%,98.8%,0.243197614,2.519927977,5.7%,1.568753727
buy_elg_top5_exp_ne, -0.078 , -4.12 ,90.8%,100.0%,0.241691701,2.507619788,5.4%,1.433712677
buy_elg_bottom5_ne, 0.040 , 2.67 ,77.5%,93.9%,0.121773789,1.325077526,4.0%,1.140700544
buy_elg_bottom5_ld_ne, 0.038 , 2.69 ,76.7%,95.2%,0.11855973,1.394016214,4.2%,1.190825361
buy_elg_bottom5_exp_ne, 0.039 , 2.69 ,76.7%,96.4%,0.121452926,1.337776575,4.2%,1.190482114
buy_elg_top10_ne, -0.073 , -3.54 ,86.7%,93.9%,0.230860761,2.03550272,4.5%,0.963295355
buy_elg_top10_ld_ne, -0.080 , -3.94 ,89.2%,95.2%,0.253151814,2.379480605,5.9%,1.354940103
buy_elg_top10_exp_ne, -0.078 , -3.75 ,90.0%,92.7%,0.248573774,2.240147838,5.4%,1.134200422
buy_elg_bottom10_ne, 0.042 , 2.18 ,77.5%,95.2%,0.111499232,0.998866349,2.8%,0.709927188
buy_elg_bottom10_ld_ne, 0.045 , 2.53 ,78.3%,97.6%,0.131297381,1.294573237,3.9%,1.137158014
buy_elg_bottom10_exp_ne, 0.044 , 2.35 ,75.8%,97.6%,0.129982499,1.179533676,4.1%,1.055521179
sm_imba_top5_ne, 0.053 , 2.04 ,75.0%,77.0%,0.094538258,0.655215305,0.8%,0.159958647
sm_imba_top5_ld_ne, 0.052 , 2.03 ,71.7%,83.0%,0.099895083,0.720678677,0.9%,0.201463064
sm_imba_top5_exp_ne, 0.053 , 2.03 ,73.3%,84.2%,0.095957718,0.652998162,1.0%,0.205210114
sm_imba_bottom5_ne, -0.085 , -3.72 ,85.8%,96.4%,0.242309804,2.077484605,5.1%,1.261562822
sm_imba_bottom5_ld_ne, -0.084 , -3.75 ,86.7%,96.4%,0.23756921,1.984622888,5.1%,1.187461493
sm_imba_bottom5_exp_ne, -0.085 , -3.74 ,85.0%,95.2%,0.240277591,2.0348294,4.9%,1.162845606
sm_imba_top10_ne, 0.051 , 1.88 ,75.8%,80.6%,0.090712098,0.591243994,0.6%,0.120940676
sm_imba_top10_ld_ne, 0.055 , 2.00 ,75.8%,81.8%,0.097852815,0.65471218,1.0%,0.207453668
sm_imba_top10_exp_ne, 0.054 , 1.94 ,75.8%,80.6%,0.092062263,0.599710636,0.8%,0.162163667
sm_imba_bottom10_ne, -0.088 , -3.75 ,89.2%,95.2%,0.24343492,1.99236548,5.3%,1.290665147
sm_imba_bottom10_ld_ne, -0.089 , -3.77 ,85.8%,91.5%,0.256995607,2.048312889,5.9%,1.362394566
sm_imba_bottom10_exp_ne, -0.089 , -3.77 ,87.5%,98.8%,0.25221625,2.041705949,5.4%,1.280003689
elg_imba_top5_ne, -0.074 , -3.72 ,86.7%,93.9%,0.226254396,2.142772412,5.4%,1.358668714
elg_imba_top5_ld_ne, -0.069 , -3.61 ,84.2%,89.1%,0.219509412,2.183578743,5.2%,1.376727239
elg_imba_top5_exp_ne, -0.073 , -3.67 ,85.8%,97.6%,0.227429037,2.166072449,5.1%,1.312001622
elg_imba_bottom5_ne, 0.047 , 2.55 ,74.2%,96.4%,0.128333009,1.293044662,2.9%,0.843718132
elg_imba_bottom5_ld_ne, 0.045 , 2.57 ,74.2%,93.9%,0.124131183,1.283270849,3.0%,0.944712929
elg_imba_bottom5_exp_ne, 0.047 , 2.57 ,74.2%,97.6%,0.130095317,1.348529313,3.2%,0.975325638
elg_imba_top10_ne, -0.079 , -3.54 ,85.0%,100.0%,0.234284772,1.955924855,5.4%,1.279846126
elg_imba_top10_ld_ne, -0.081 , -3.68 ,84.2%,98.8%,0.251133385,2.168919967,6.0%,1.499383065
elg_imba_top10_exp_ne, -0.081 , -3.62 ,84.2%,97.6%,0.251350083,2.098524377,5.8%,1.388274277
elg_imba_bottom10_ne, 0.048 , 2.24 ,75.0%,83.0%,0.091489005,0.722916196,1.7%,0.450315653
elg_imba_bottom10_ld_ne, 0.052 , 2.52 ,76.7%,97.6%,0.127744349,1.135222192,3.3%,0.943308049
elg_imba_bottom10_exp_ne, 0.051 , 2.38 ,74.2%,95.2%,0.119226293,0.977348802,3.2%,0.866646855
